,report_name,report_period,pbls_year,sector
180,2012 KEPCO E&C 지속가능경영보고서,2012.01~2012.12,2013,Energy Utilities
181,2012 KORAIL 지속경영보고서,2012.01~2012.12,2013,Railroad
182,2012 KOTRA 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
183,2012 KSPO 지속가능보고서,2012.01~2012.12,2014,Public Agency
184,2012 LG생활건강 CSR보고서,2012.01~2012.12,2013,Household and Personal Products
185,2012 LG이노텍 지속가능성보고서,2011.01~2011.12,2013,Technology Hardware
186,2012 LS엠트론 지속가능경영 보고서 Vol.04,2012.01~2012.12,2013,Technology Hardware
187,2012 SAMSUNG ENGINEERING SUSTAINABILITY REPORT,2012.01~2012.12,2013,Construction
188,2012 SK C&C 지속가능경영보고서,2011.01~2011.12,2012,Commercial Service
189,2012 SK Telecom Integrated Sustainability Report,2012.01~2012.12,2013,Telecommunications
190,2012 Sustainability Report,2012.01~2012.12,2013,Energy Utilities
191,2012 강원랜드 지속가능경영보고서,2011.01~2011.12,2012,Tourism&Leisure
192,2012 국민연금 사회책임경영보고서,2011.01~2011.12,2012,Public Agency
193,2012 근로복지공단 지속가능경영보고서,2012.01~2012.12,2014,Public Agency
194,2012 금호타이어 지속가능성보고서,2012.01~2012.12,2013,Others
195,2012 대한주택보증 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
196,2012 대한항공 지속가능성 보고서,2011.01~2011.11,2012,Aviation
197,2012 두산인프라코어 통합보고서,2012.01~2012.12,2013,Constructions Materials
198,2012 두산중공업 통합보고서,2012.01~2012.12,2013,Constructions Materials
199,2012 롯데쇼핑 지속가능성보고서,2011.01~2011.12,2012,백화점
200,2012 미래에셋증권 지속가능경영보고서,2011.01~2011.12,2012,Financial Services
201,2012 사립학교교직원연금공단 지속가능경영보고서,2011.01~2012.06,2013,Financial Services
202,2012 사회책임경영보고서,2011.01~2011.12,2013,Household and Personal Products
203,2012 삼성생명 통합보고서,2012.04~2013.03,2013,Financial Services
204,2012 삼성증권 보고서,2012.01~2012.12,2013,Financial Services
205,2012 스포츠토토 사회책임보고서,2012.01~2012.12,2013,Tourism&Leisure
206,2012 신한금융그룹 사회책임보고서,2010.01~2012.12,2013,Financial Services
207,2012 아모레퍼시픽 지속가능성보고서,2012.01~2012.12,2013,Household and Personal Products
208,2012 에쓰-오일 지속가능성보고서,2012.01~2012.12,2013,Energy
209,2012 우체국 물류지원단 지속가능경영 보고서,2012.01~2012.12,2013,Logistics
210,2012 울산항만공사 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
211,2012 인천광역시 지속가능성보고서,2012.01~2012.12,2014,Other
212,2012 인천국제공항공사 사회책임경영보고서,2011.01~2011.12,2012,Public Agency
213,2012 지속가능경영 보고서 (LH),2009.10~2011.12,2013,Public Agency
214,2012 지속가능경영보고서,2011.01~2011.12,2012,Consumer Durables
215,2012 지속가능경영보고서,2011.01~2011.12,2013,Energy
216,2012 지속가능성보고서,2011.01~2011.12,2012,Automotive
217,2012 코웨이 통합보고서,2012.01~2012.12,2013,Household and Personal Products
218,2012 팬택 지속가능경영보고서,2012.01~2012.12,2014,Technology Hardware
219,2012 포스코 지속가능성보고서,2012.01~2012.12,2013,Conglomerates
220,2012 풀무원 지속경영보고서,2012.01~2012.12,2013,Food and Beverage Products
221,2012 하나금융그룹 지속가능경영보고서,2012.01~2012.12,2013,Financial Services
222,2012 한국감정원 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
223,2012 한국건설기술연구원 지속가능경영보고서,2009.01~2011.12,2012,Other
224,2012 한국공항공사 지속가능경영보고서,2011.01~2011.12,2013,Public Agency
225,2012 한국광해관리공단 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
226,2012 한국전자통신연구원 지속가능경영보고서,2009.01~2011.12,2012,Other
227,2012 한국환경공단 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
228,2012 한전KPS 지속가능경영보고서,2011.01~2012.12,2013,Energy
229,2012 해양환경관리공단 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
230,2012 효성 지속가능경영보고서,2012.01~2012.12,2013,환경가전
231,2012-2013 LG Display 지속가능경영보고서,2012.01~2012.12,2013,Equipment
232,2012-2013 LG전자 지속가능경영보고서,2012.01~2012.12,2013,Consumer Durables
233,2012-2013 교통안전공단 지속가능경영보고서,2012.1~2013.12,2014,Public Agency
234,2012-2013 한국지질자원연구원 지속가능경영보고서,2010.01~2012.12,2014,Public Agency
235,2012&#12539;2013 지속가능경영보고서,2012.01~2012.12,2013,Public Agency
236,2012~2013 KSA 지속가능성보고서,2011.1~2012.12,2020,Other
237,2012~2013 인천광역시 부평구 지속가능성 보고서,2012.01~2013.12,2014,Public Agency
238,2012~2013 한국마이크로소프트 기업시민활동 보고서,2011.07~2013.06,2014,Computers
239,2012~2013 현대엔지니어링 지속가능경영보고서,2012.01~2013.12,2014,Construction
240,2012~2013 현대해상화재보험 지속가능성 보고서,2012.04~2013.12,2014,Financial Services
241,2013 (주)두산 CSR 보고서,2013.01~2013.12,2014,Conglomerates
242,2013 coway SUSTAINABILITY report,2013.01~2013.12,2014,Household and Personal Products
243,2013 Doosan Engine CSR Report,2013.01~2013.12,2014,Other
244,2013 Doosan Infracore Integrated Report,2013.01~2013.12,2014,Constructions Materials
245,2013 Hyundai Engineering & Construction Sustainability Report,2012.01~2012.12,2013,Construction
246,2013 KB금융그룹 지속가능경영보고서,2013.1~2013.12,2014,Financial Services
247,2013 KC그린홀딩스 지속가능경영보고서,2012.01~2012.12,2013,Energy Utilities
248,2013 KOMIPO 지속가능경영보고서,2011.01~2012.12,2014,Energy
249,2013 kt 지속가능경영보고서,2012.01~2012.12,2013,Telecommunications
250,2013 LG Innotek Sustainability Report,2012.01~2012.12,2013,Technology Hardware
251,2013 LG생활건강CSR 보고서,2013.01~2013.12,2014,Household and Personal Products
252,2013 LG화학 지속가능경영보고서,2013.01~2013.12,2014,Chemicals
253,2013 LS엠트론 지속가능경영보고서 Vol.05,2013.01~2013.12,2014,Technology Hardware
254,2013 LS전선 지속가능경영보고서,2013.01~2013.12,2014,Energy Utilities
255,2013 OCI 지속가능경영보고서,2013.1~2013.12,2014,Chemicals
256,2013 Samsung Engineering Sustainability Report,2013.01~2013.12,2014,Construction
257,2013 강원랜드 지속가능경영보고서,2012.01~2012.12,2014,Tourism&Leisure
258,2013 국민연금 사회책임경영보고서,2012.01~2012.12,2014,Public Agency
259,2013 근로복지공단 지속가능경영보고서,2013.1~2013.12,2014,Public Agency
260,2013 대한주택보증 지속가능경영보고서,2013.01~2013.12,2014,Public Agency
261,2013 대한항공 지속가능성 보고서,2012.01~2012.12,2013,Aviation
262,2013 두산건설 CSR 보고서,2013.01~2013.12,2014,Construction
263,2013 두산중공업 통합보고서,2013.01~2013.12,2014,Constructions Materials
264,2013 롯데쇼핑 지속가능성보고서,2012.01~2012.12,2014,Commercial Service
265,2013 사회적책임보고서,2013.01~2013.12,2014,Non-Profit&Services
266,2013 삼성생명 지속가능경영보고서,2013.01~2013.12,2014,Financial Services
267,2013 삼성자산운용 지속가능경영보고서,2012.01~2012.12,2013,Financial Services
268,2013 삼성증권 보고서,2013.04~2013.12,2014,Financial Services
